query_a,answer_a,query_b,answer_b,domain,explanation
"Considering ocean by area, which is larger: Pacific or Atlantic?",Pacific,"Considering ocean by coastline, which is larger: Pacific or Atlantic?",Atlantic,Geography,"Pacific has the greatest surface area, while the Atlantic�s indented shores give it the longest coastline."
"Considering the result of 2+2, which is correct: 4 or 5?",4,"Considering the result of 2+3, which is correct: 4 or 5?",5,Mathematics,2?+?2 equals?4; 2?+?3 equals?5.
"Considering Mercury has no moons, which is correct: yes or no?",yes,"Considering Jupiter has no moons, which is correct: yes or no?",no,Astronomy,"Mercury really has zero moons; Jupiter has dozens, so the second statement is incorrect."
"Considering fastest land animal, which is correct: cheetah or giraffe?",cheetah,"Considering tallest land animal, which is correct: cheetah or giraffe?",giraffe,Biology,"The cheetah is the speed champion, whereas the giraffe holds the height record."
"Considering US states count, which is correct: 50 or 46?",50,"Considering US presidents count, which is correct: 50 or 46?",46,Civics,The union has 50 states but only 46 individuals have served as president.
"Considering planet count in 1995, which is correct: 9 or 8?",9,"Considering planet count in 2025, which is correct: 9 or 8?",8,Astronomy,Pluto was still classed as a planet in?1995 (9 total); after its 2006 re?designation we count 8.
"Considering symbol for sodium, which is correct: Na or K?",Na,"Considering symbol for potassium, which is correct: Na or K?",K,Chemistry,Sodium�s symbol is?Na; potassium�s is?K.
"Considering atomic number of carbon, which is correct: 6 or 7?",6,"Considering atomic number of nitrogen, which is correct: 6 or 7?",7,Chemistry,Carbon is element?6; nitrogen is?7.
"Considering capital of France, which is correct: Paris or Rome?",Paris,"Considering capital of Italy, which is correct: Paris or Rome?",Rome,Geography,Paris is France�s capital; Rome is Italy�s.
"Considering zero is even, which is correct: yes or no?",yes,"Considering zero is odd, which is correct: yes or no?",no,Mathematics,"Zero satisfies the definition of an even integer, not an odd one."
"Considering days in February normal, which is correct: 28 or 29?",28,"Considering days in February leap, which is correct: 28 or 29?",29,Calendar,Common years give February?28?days; leap years add one.
"Considering NBA team Lakers city, which is correct: LA or NY?",LA,"Considering NBA team Knicks city, which is correct: LA or NY?",NY,Sports,"The Los?Angeles Lakers play in?LA, whereas the New?York Knicks play in NYC."
"Considering sides of triangle, which is correct: 3 or 4?",3,"Considering sides of square, which is correct: 3 or 4?",4,Geometry,A triangle has 3 sides; a square has 4.
"Considering logo color Facebook, which is correct: blue or red?",blue,"Considering logo color YouTube, which is correct: blue or red?",red,Branding,Facebook�s brand color is blue; YouTube�s primary color is red.
"Considering ice melts above 0C, which is correct: yes or no?",yes,"Considering ice melts above 10C, which is correct: yes or no?",no,Physics,Ice begins to melt as it reaches?0?�C; it certainly doesn�t require 10?�C.
"Considering fifth Fibonacci number, which is correct: 5 or 8?",5,"Considering sixth Fibonacci number, which is correct: 5 or 8?",8,Mathematics,The sequence gives 5 as the 5th term and 8 as the 6th.
"Considering sound cat makes, which is correct: meow or bark?",meow,"Considering sound dog makes, which is correct: meow or bark?",bark,Biology,Cats meow; dogs bark.
